,date,statename,ili_activity_label,a_2009_h1n1,week_TEMP,week_STP,Latitude,Longitude
0,2010-10-10,Alabama,Level 1,0,16.2971428571,1002.72040816,32.806671,-86.79113
1,2010-10-17,Alabama,Level 1,0,19.699047619,1000.55686275,32.806671,-86.79113
2,2010-10-24,Alabama,Level 1,0,16.3647619048,1001.35562914,32.806671,-86.79113
3,2010-10-31,Alabama,Level 1,0,20.8187301587,1000.56375839,32.806671,-86.79113
4,2010-11-07,Alabama,Level 1,0,13.417037037,1005.20793651,32.806671,-86.79113
5,2010-11-14,Alabama,Level 1,0,9.45142857143,1005.6557047,32.806671,-86.79113
6,2010-11-21,Alabama,Level 1,0,12.7498412698,1002.24671053,32.806671,-86.79113
7,2010-11-28,Alabama,Level 4,2,16.280952381,1006.0869281,32.806671,-86.79113
8,2010-12-05,Alabama,Level 4,0,4.37444444444,1008.00232558,32.806671,-86.79113
9,2010-12-12,Alabama,Level 8,1,3.53492063492,1006.48881579,32.806671,-86.79113
10,2010-12-19,Alabama,Level 10,0,3.60634920635,1001.43921569,32.806671,-86.79113
11,2010-12-26,Alabama,Level 10,1,7.39206349206,1002.98066667,32.806671,-86.79113
12,2011-01-02,Alabama,Level 10,2,3.02095238095,1005.24026846,32.806671,-86.79113
13,2011-01-09,Alabama,Level 10,4,7.37940199336,1000.36571429,32.806671,-86.79113
14,2011-01-16,Alabama,Level 10,5,0.02,1007.03609023,32.806671,-86.79113
15,2011-01-23,Alabama,Level 10,10,5.40033222591,1000.94222222,32.806671,-86.79113
16,2011-01-30,Alabama,Level 10,11,4.69401993355,1001.59166667,32.806671,-86.79113
17,2011-02-06,Alabama,Level 10,19,5.27790697674,1004.51558442,32.806671,-86.79113
18,2011-02-13,Alabama,Level 10,15,2.56333333333,1002.62608696,32.806671,-86.79113
19,2011-02-20,Alabama,Level 10,26,9.82026578073,1008.09411765,32.806671,-86.79113
20,2011-02-27,Alabama,Level 10,12,16.153820598,1001.58273381,32.806671,-86.79113
21,2011-03-06,Alabama,Level 10,9,13.7761627907,1006.46923077,32.806671,-86.79113
22,2011-03-13,Alabama,Level 8,12,10.3265780731,1002.50869565,32.806671,-86.79113
23,2011-03-20,Alabama,Level 2,10,13.8744186047,1006.34379562,32.806671,-86.79113
24,2011-03-27,Alabama,Level 1,5,18.3534883721,1002.62028986,32.806671,-86.79113
25,2011-04-03,Alabama,Level 1,2,11.3720930233,993.373684211,32.806671,-86.79113
26,2011-04-10,Alabama,Level 1,0,16.5136212625,999.647407407,32.806671,-86.79113
27,2011-04-17,Alabama,Level 1,0,19.9215946844,999.410948905,32.806671,-86.79113
28,2011-04-24,Alabama,Level 1,0,18.8252491694,1000.3125,32.806671,-86.79113
29,2011-05-01,Alabama,Level 1,0,21.6361486486,998.642307692,32.806671,-86.79113
30,2011-05-08,Alabama,Level 1,0,17.6372093023,1004.29152542,32.806671,-86.79113
31,2011-05-15,Alabama,Level 1,0,22.4368770764,998.225179856,32.806671,-86.79113
32,2011-05-22,Alabama,Level 1,0,16.8752508361,995.538405797,32.806671,-86.79113
33,2011-05-29,Alabama,Level 1,0,24.3388704319,998.248571429,32.806671,-86.79113
34,2011-06-05,Alabama,Level 1,0,25.9052325581,1001.5475,32.806671,-86.79113
35,2011-06-12,Alabama,Level 1,0,27.4013289037,1000.10791367,32.806671,-86.79113
36,2011-06-19,Alabama,Level 1,0,26.5455149502,997.609285714,32.806671,-86.79113
37,2011-06-26,Alabama,Level 1,0,26.6595317726,998.17593985,32.806671,-86.79113
38,2011-07-03,Alabama,Level 1,0,25.7224806202,999.736752137,32.806671,-86.79113
39,2011-07-10,Alabama,Level 1,0,26.7553333333,998.597727273,32.806671,-86.79113
40,2011-07-17,Alabama,Level 1,0,27.4,997.473684211,32.806671,-86.79113
41,2011-07-24,Alabama,Level 1,0,26.3863787375,999.75648855,32.806671,-86.79113
42,2011-07-31,Alabama,Level 1,0,26.8016611296,999.822556391,32.806671,-86.79113
43,2011-08-07,Alabama,Level 1,0,27.7255813953,1001.61578947,32.806671,-86.79113
44,2011-08-14,Alabama,Level 1,0,26.9511627907,996.310526316,32.806671,-86.79113
45,2011-08-21,Alabama,Level 1,0,26.084717608,998.286764706,32.806671,-86.79113
46,2011-08-28,Alabama,Level 1,0,27.9574750831,997.859854015,32.806671,-86.79113
47,2011-09-04,Alabama,Level 1,0,27.0376744186,995.086315789,32.806671,-86.79113
48,2011-09-11,Alabama,Level 1,0,21.2551495017,995.208148148,32.806671,-86.79113
49,2011-09-18,Alabama,Level 1,0,21.6059800664,1001.11214286,32.806671,-86.79113
50,2011-09-25,Alabama,Level 1,0,22.1548172757,1002.22428571,32.806671,-86.79113
51,2011-10-02,Alabama,Level 1,0,21.3097315436,997.456617647,32.806671,-86.79113
52,2011-10-09,Alabama,Level 1,0,16.473,1005.65036496,32.806671,-86.79113
53,2011-10-16,Alabama,Level 1,0,19.288372093,999.144525547,32.806671,-86.79113
54,2011-10-23,Alabama,Level 2,0,15.0265780731,997.819117647,32.806671,-86.79113
55,2011-10-30,Alabama,Level 3,0,14.2777408638,1002.26231884,32.806671,-86.79113
56,2011-11-06,Alabama,Level 3,0,9.70234375,1004.74912281,32.806671,-86.79113
57,2011-11-13,Alabama,Level 5,0,13.0744186047,1005.625,32.806671,-86.79113
58,2011-11-20,Alabama,Level 3,0,14.811627907,1002.82238806,32.806671,-86.79113
59,2011-11-27,Alabama,Level 4,0,14.9900332226,1006.52592593,32.806671,-86.79113
60,2011-12-04,Alabama,Level 2,0,4.96744186047,1010.5975,32.806671,-86.79113
61,2011-12-11,Alabama,Level 6,0,9.98073089701,1006.39270073,32.806671,-86.79113
62,2011-12-18,Alabama,Level 7,0,10.453820598,1010.42971014,32.806671,-86.79113
63,2011-12-25,Alabama,Level 8,0,11.3003322259,1004.875,32.806671,-86.79113
64,2012-01-01,Alabama,Level 9,0,8.4,1004.93071429,32.806671,-86.79113
65,2012-01-08,Alabama,Level 5,1,7.9544973545,1007.93892216,32.806671,-86.79113
66,2012-01-15,Alabama,Level 6,0,10.4621693122,1000.63575758,32.806671,-86.79113
67,2012-01-22,Alabama,Level 9,0,11.2753968254,1005.18641975,32.806671,-86.79113
68,2012-01-29,Alabama,Level 10,0,14.2566137566,1001.1617284,32.806671,-86.79113
69,2012-02-05,Alabama,Level 10,0,8.4975308642,1011.85492958,32.806671,-86.79113
70,2012-02-12,Alabama,Level 10,0,9.80211640212,1005.50838323,32.806671,-86.79113
71,2012-02-19,Alabama,Level 10,1,8.88430851064,1004.84573171,32.806671,-86.79113
72,2012-02-26,Alabama,Level 10,1,13.0537433155,998.693630573,32.806671,-86.79113
73,2012-03-04,Alabama,Level 10,0,13.9268518519,1008.61473684,32.806671,-86.79113
74,2012-03-11,Alabama,Level 10,0,13.4058355438,1008.82439024,32.806671,-86.79113
75,2012-03-18,Alabama,Level 10,2,19.0624338624,1007.59386503,32.806671,-86.79113
76,2012-03-25,Alabama,Level 5,2,20.8037037037,1002.24518072,32.806671,-86.79113
77,2012-04-01,Alabama,Level 5,0,19.4625994695,1000.17682927,32.806671,-86.79113
78,2012-04-08,Alabama,Level 4,1,19.6256,996.336942675,32.806671,-86.79113
79,2012-04-15,Alabama,Level 3,0,16.5131016043,1004.87407407,32.806671,-86.79113
80,2012-04-22,Alabama,Level 5,0,19.5894179894,1000.48242424,32.806671,-86.79113
81,2012-04-29,Alabama,Level 6,0,17.8984126984,998.239130435,32.806671,-86.79113
82,2012-05-06,Alabama,Level 6,1,22.4398148148,1003.17021277,32.806671,-86.79113
83,2012-05-13,Alabama,Level 5,0,21.271957672,998.88908046,32.806671,-86.79113
84,2012-05-20,Alabama,Level 7,0,22.0755319149,1000.01162791,32.806671,-86.79113
85,2012-05-27,Alabama,Level 3,0,23.5268617021,999.707017544,32.806671,-86.79113
